Position.x;Position.y;Scale.x;Scale.y;Rect.x0;Rect.y0;Rect.x1;Rect.y1;Path
0.0;0.0;1.0;1.0;0;0;1920;1080;assets/battle.png
500.0;800.0;4.0;4.0;0;0;252;50;assets/attaque.png
500.0;350.0;3.0;3.0;0;0;108;16;assets/barre_dresseur.png
500.0;800.0;4.0;4.0;0;0;242;50;assets/battle_options.png
1000.0;850.0;3.0;3.0;0;0;12;15;assets/fleche.png
500.0;300.0;2.0;2.0;0;0;198;87;assets/life_enemie.png
1000.0;650.0;2.0;2.0;0;0;198;87;assets/life_pokemon.png
0.0;0.0;5.0;5.0;0;0;10;10;assets/pokeballs.png
500.0;800.0;4.0;4.0;0;0;252;50;assets/attaque_text.png
0;0;1.5;1.5;0;0;1980;1080;assets/intro_fight.png
0;0;1.0;1.0;0;0;1920;1080;assets/pc.png
300;300;0.7;0.7;0;0;832;238;assets/pokemon_pc.png
300;300;0.7;0.7;0;0;832;238;assets/hover_pc.png
300;300;0.7;0.7;0;0;832;238;assets/pc_clicked.png
0;0;1.0;1.0;0;0;1920;1080;assets/bag.png
540;560;0.1;0.1;0;0;350;489;assets/potion.png
100;100;1.0;1.0;0;0;136;140;assets/btn_close.png
0;0;1.5;1.5;0;0;1280;718;assets/arene_combat.png
1400;250;8.0;8.0;0;0;26;36;assets/master.png
0;0;1.0;1.0;0;0;1920;1080;assets/shop_item.png
